Object ID,Category,Path,Timestamp
1,person,Path 2,2024-10-16 13:03:38
1,person,Path 2,2024-10-16 13:03:38
1,person,Path 2,2024-10-16 13:03:38
1,person,Path 2,2024-10-16 13:03:38
1,person,Path 2,2024-10-16 13:03:38
1,person,Path 2,2024-10-16 13:03:38
1,person,Path 2,2024-10-16 13:03:38
1,person,Path 2,2024-10-16 13:03:39
1,person,Path 2,2024-10-16 13:03:39
1,person,Path 2,2024-10-16 13:03:39
1,person,Path 2,2024-10-16 13:03:39
1,person,Path 2,2024-10-16 13:03:39
1,person,Path 2,2024-10-16 13:03:39
1,person,Path 2,2024-10-16 13:03:39
1,person,Path 2,2024-10-16 13:03:39
1,person,Path 2,2024-10-16 13:03:39
1,person,Path 2,2024-10-16 13:03:39
1,person,Path 2,2024-10-16 13:03:39
1,person,Path 2,2024-10-16 13:03:40
1,person,Path 2,2024-10-16 13:03:40
1,person,Path 2,2024-10-16 13:03:40
1,person,Path 2,2024-10-16 13:03:40
1,person,Path 2,2024-10-16 13:03:40
1,person,Path 2,2024-10-16 13:03:40
1,person,Path 2,2024-10-16 13:03:40
1,person,Path 2,2024-10-16 13:03:40
1,person,Path 2,2024-10-16 13:03:40
1,person,Path 2,2024-10-16 13:03:40
1,person,Path 2,2024-10-16 13:03:40
1,person,Path 2,2024-10-16 13:03:40
1,person,Path 2,2024-10-16 13:03:40
1,person,Path 2,2024-10-16 13:03:41
1,person,Path 2,2024-10-16 13:03:41
1,person,Path 2,2024-10-16 13:03:41
1,person,Path 2,2024-10-16 13:03:41
1,person,Path 2,2024-10-16 13:03:41
1,person,Path 2,2024-10-16 13:03:41
1,person,Path 2,2024-10-16 13:03:41
1,person,Path 2,2024-10-16 13:03:41
1,person,Path 2,2024-10-16 13:03:41
1,person,Path 1,2024-10-16 13:03:42
1,person,Path 1,2024-10-16 13:03:42
1,person,Path 1,2024-10-16 13:03:42
1,person,Path 1,2024-10-16 13:03:42
1,person,Path 1,2024-10-16 13:03:42
25,person,Path 1,2024-10-16 13:04:08
25,cell phone,Path 1,2024-10-16 13:04:08
25,person,Path 1,2024-10-16 13:04:08
25,person,Path 1,2024-10-16 13:04:08
25,person,Path 1,2024-10-16 13:04:08
25,person,Path 1,2024-10-16 13:04:08
25,cell phone,Path 1,2024-10-16 13:04:08
